id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
e3fbea99-cb23-4df3-a9b3-3bfa29518ce1,nick_saraev,4. AI CREATORS,https://scontent-den2-1.cdninstagram.com/v/t51.2885-19/474740916_1843193596487436_7809450024972527192_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gHlbzgbOsReDjpBiFUBavLJnqMLwr1hAtI3XU5JTOp0wyBLSwXmLXSs4chGiW3qluI&_nc_ohc=CRnYY6hB1rEQ7kNvwGojZml&_nc_gid=ZBNTQSm2GO0BH8s5DIjvUw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_naPX3Ci6mrMnYVaZW1P7H4ncvTfCpE6YA2ESf3C77wA&oe=6A34C9B6&_nc_sid=8b3546,518010,8,171461,2026-06-14T17:14:22.260Z
4f7c9664-b368-4961-9005-324085e92aee,nateherkai,4. AI CREATORS,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-19/589100350_17903463765296898_7210988525837429305_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gGM85MEYEvvzxaB703Wq0xmxl2rLv3DwaiEFpJMICxGTDfQsIXev2xG94ZPzqbTYQ0&_nc_ohc=yOAOMfXTJy4Q7kNvwGnrE1P&_nc_gid=N5WbHfyKYCz9Wciz-r5Wtg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_vcoDDiUDeIRRNYC_rJp3V7rxmgOFzIDJtLXeVJKekMA&oe=6A34AA2C&_nc_sid=8b3546,249855,28,51050,2026-06-14T17:15:43.487Z
70674822-ca6e-4dfd-9074-43fbcb80b720,rpn,4. AI CREATORS,https://scontent-iad6-1.cdninstagram.com/v/t51.2885-19/356616546_965710351247179_4228322559225150670_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MDAuYzIifQ&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gHwOMc2FwfZxcS-2vk_g1hcIacXEPdMFmu8KMFiLbZfmKy2-HbCLOsvrPYLuRVyhuw&_nc_ohc=P_jZ1QzsegkQ7kNvwHBO6oG&_nc_gid=cSkhm6gtZtNtxlQ32FyqhQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_T8p3Vzc3vpIABqSiKIuCZ334yFBAssnq64htXfUQt1g&oe=6A34B953&_nc_sid=8b3546,881246,9,440779,2026-06-14T17:16:34.896Z
99534a0b-3b68-4cae-b8a6-38c37c287195,rourke,4. AI CREATORS,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/501132908_17912336154146282_6417470350579865965_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45MDcuYzIifQ&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gGnZnscKFmtmM_eFiqWqdzaogcOMQeDEetqTe4t9W6bFbZLYRb6ZVXuqrBk20McmMg&_nc_ohc=eCmWfJb_ROQQ7kNvwHSx9Fp&_nc_gid=x7t8si8gPaSuGKVWAkmnaA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af-kBlu-wailAzbzgf3lEpoYwioYt9sz5oidxzF-8XbG5A&oe=6A34C0FB&_nc_sid=8b3546,916922,14,6312682,2026-06-14T17:17:33.017Z
a64e3586-66a9-428f-abdc-be5340bb29f3,kallaway,4. AI CREATORS,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/480836572_599921426361567_7460727147764673960_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHacoD5rnu1k4ni77SpsPbJsVGWjKBHr9eKTif8FEbGUpM-41Q6V9Ow0LiPfNcnY6M&_nc_ohc=8TN-k8_bGiAQ7kNvwGzSNlC&_nc_gid=KQtG7j7Ocil5INJJ7V9SCg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9-iGV6OpmYBL_lyxa8NPxIii2OlG795nfn2kPpUgzr_Q&oe=6A34A301&_nc_sid=8b3546,438303,7,1083353,2026-06-14T17:18:12.433Z
993d1758-a3be-48c8-8301-455889ac67f0,sajon.co,1. LEADER CONTENT,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-19/640315545_18173804674375834_5120234276123797087_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gGNZjIgBY-czrHsxIgd-KDPqFb1fVBZCV13aVstiZiMj610A7MAZIbQLBxYpirVPqc&_nc_ohc=WwIGzPsscBcQ7kNvwF3IhpU&_nc_gid=pGwIfh2O9ZwBhGzp2_9Xxg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9DWV4b0CZUtlvAOfaulw0pfTHTylerlmobHIEBFdDkmQ&oe=6A34A904&_nc_sid=8b3546,208139,1,113345,2026-06-14T17:18:30.090Z
12e2bd9b-6b0c-4e5e-a443-fc63e5fd81bb,prithvi.jadwani,1. LEADER CONTENT,https://scontent-den2-1.cdninstagram.com/v/t51.2885-19/503554427_17901090333207976_4972737643798933591_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDA0LmMyIn0&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gEZuEM7uCxPyifNImZpdy_eSPI3WDDhI3JV4ex7xsNlNauLLKSBg21la77-VataDbo&_nc_ohc=fyIHz7BF91sQ7kNvwGcTX0b&_nc_gid=WTbR73A-hYJJukwclIDQOg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9DbXBu9WrNcBbq_4Vufq2EFeWuYoRh5k_4g5B_SVsaqA&oe=6A34B6CE&_nc_sid=8b3546,11626,16,1944,2026-06-14T17:20:25.868Z
4fd5fcb3-0db4-4d27-a2f7-5b1e3a5e51e8,jarrydsinclair,3. EDITS CONTENT,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/499466225_17899615632221605_8032830841854125022_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gHXJ-1wE5WY8o7Kn5d4JVFkvcQHkZZOIJ-np17RFPTZCUq8QaTWcJ4OeaT4oVRg-uk&_nc_ohc=vuFpRL5oKlUQ7kNvwF5eMck&_nc_gid=-CVckEHiF0TSArhps1Uupw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af8MMWzHnmUw5H4AX5mCrT3s2a2LhsvUNttZ7LrHqh_ojg&oe=6A34A5F2&_nc_sid=8b3546,52274,0,0,2026-06-14T17:20:53.502Z
fa38d985-6430-4388-bfb1-030b728531b7,moksh.vasant,2. PB ADVENTURE,https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/703843845_18409661938145385_1766298435942397484_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFQ_iVmPZZKtxlH3RsSJUU3w5VG9wvDKiebWRzCZRF4ugpTs00thXqZBSfxSAQItzA&_nc_ohc=xZhzIpXlliEQ7kNvwE24aRu&_nc_gid=HeXab7UDa2u4mwWymEps3Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af-W4PXKi446BdeSXppBpfQB_oA1v819-CBSrs4i7J38QA&oe=6A34B6B5&_nc_sid=8b3546,140747,22,24108,2026-06-14T17:21:46.207Z
1971070f-1489-4167-8970-db553ee10f06,santhoshdesign,1. LEADER CONTENT,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-19/657358322_18021510674821563_1491289766872008023_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEgWuOb01r29aAOkqqRC6hteDVx3fgiHKFWs8FW-SrexXcCRVWOP_P2VsDvGzYZeLY&_nc_ohc=1SZy7njOhd0Q7kNvwFkp_-3&_nc_gid=_K8yihUr558FcewPba7WNw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af-0lZ8_FWsjokcoP9efTKRDhCNAXAw53n9Q11Cbze3L2w&oe=6A34B47F&_nc_sid=8b3546,166213,11,18081,2026-06-14T17:22:08.384Z
