title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Miles 'O' Smiles Dental Clinic,4.9,65,"C-10 1/2, Akurli Rd, near unity bank",Mumbai,Maharashtra,IN,,+91 99878 86812,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Miles%20'O'%20Smiles%20Dental%20Clinic&query_place_id=ChIJvQQPdwO35zsR3m4Jwe737G8,Dental clinic
Dr Apurva's Shree Dental Clinic,5,120,"Shop No 1, Shilptaru Residency, Wamanrao Sawant Rd, next to Janseva Bank",Mumbai,Maharashtra,IN,,+91 76660 51702,Dental clinic,Orthotics & prosthetics service,Paediatric Dentist,Prosthodontist,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Apurva's%20Shree%20Dental%20Clinic&query_place_id=ChIJ-QQLT8Kw5zsRz2cV4i5ZT4Y,Dental clinic
Mahavir Dental Clinic,5,51,"Shop no 4, A/7 Building",Mumbai,Maharashtra,IN,,+91 93218 84049,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mahavir%20Dental%20Clinic&query_place_id=ChIJJV4PDZix5zsRbLoblIR4WEk,Dental clinic
Dr. Shikha's Dental Clinic,4.4,18,"Shop No. 3, TOWER-B, Sant Gora Kumbhar Marg",Mumbai,Maharashtra,IN,,+91 91468 72088,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Shikha's%20Dental%20Clinic&query_place_id=ChIJffvOBs2w5zsRjueZlKm5Mms,Dental clinic
Patel Dental Care,4.9,79,"Shop no 28, Gayatri Darshan building, Near Bay leaf restaurant ,, Thakur complex, kandivali east, opposite Shivalaya Juice Centre",Mumbai,Maharashtra,IN,,+91 84338 07774,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Patel%20Dental%20Care&query_place_id=ChIJTVXF0Tq35zsRxJsFmh710e8,Dental clinic
RMT Trust Dental Clinic,4.8,129,"11, Sai Mansarovar Cooperative Housing Society",Mumbai,Maharashtra,IN,https://rmt-trust-dental-clinic.netlify.app/#services,+91 93219 37733,Dental clinic,Cosmetic dentist,Dental implants periodontist,Dental implants provider,Dental radiology,Dentist,Orthodontist,,,,https://www.google.com/maps/search/?api=1&query=RMT%20Trust%20Dental%20Clinic&query_place_id=ChIJ_chvGZO35zsRVdSIliaD4vs,Dental clinic
Dr. Jariwala Orthodontics & Dental Clinic in SV rd Borivali West l braces l Root Canal and dentist in Sv rd Borivali West,4.7,88,"Silver Gold Society, Mandpeshwar rd.Opp union bank , Borivali West",Mumbai,Maharashtra,IN,,+91 98209 14071,Dental clinic,Cosmetic dentist,Dentist,Dental implants periodontist,Dental implants provider,Denture Care Centre,Endodontist,Orthodontist,Prosthodontist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Dr.%20Jariwala%20Orthodontics%20%26%20Dental%20Clinic%20in%20SV%20rd%20Borivali%20West%20l%20braces%20l%20Root%20Canal%20and%20dentist%20in%20Sv%20rd%20Borivali%20West&query_place_id=ChIJXxKrGNmw5zsRBeIYCXa8kYI,Dental clinic
Apurva Dental Clinic,5,14,"post office, Ossia elegance,shop no.2, Jain Mandir Rd, below daulat nager",Mumbai,Maharashtra,IN,,+91 92242 00984,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Apurva%20Dental%20Clinic&query_place_id=ChIJiYtvO9qw5zsRRxLjwqfSDUE,Dental clinic
Apurva Dental Clinic,4.5,2,"Shop Number 6, Apartment, Rokadia Ln",Mumbai,Maharashtra,IN,,+91 98693 45973,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Apurva%20Dental%20Clinic&query_place_id=ChIJAQCEYtmw5zsRr6xD-u5DJmc,Dental clinic
Nisha Dental Care,4.9,280,"Shop no 3, Trigun CHS, Eksar Rd, opp. Maratha Sahakari Bank",Mumbai,Maharashtra,IN,https://nishadentalcare.com/,+91 77387 97501,Dental clinic,Hospital,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nisha%20Dental%20Care&query_place_id=ChIJrzQlqiax5zsRfbanpMNkWlU,Dental clinic
Arya Dental Clinic,5,16,"Shop no. 14, Shri, Adinath Tower, ST Bus Depot, opposite Nancy Colony",Mumbai,Maharashtra,IN,http://business.google.com/website/arya-dental-clinic,+91 99205 14336,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Arya%20Dental%20Clinic&query_place_id=ChIJh1NvGcOw5zsRB7cCMiRSfOY,Dental clinic
Pearle Smylz Dental Clinic,4.9,85,"Shop no 18, Veena Geet Sangeet, near New India Bank",Mumbai,Maharashtra,IN,http://pearlesmylzdentalclinic.com/,+91 98205 40235,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pearle%20Smylz%20Dental%20Clinic&query_place_id=ChIJHW_-ztG25zsRB-as6c2-3qc,Dental clinic
Mahajan dental clinic Dr. Sujit Mahajan,4.8,21,"Shop no 8, Mahajan Dental Clinic, Lavender Shopping Centre, Gorai Rd",Mumbai,Maharashtra,IN,,+91 98236 72077,Dental clinic,Oral surgeon,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mahajan%20dental%20clinic%20Dr.%20Sujit%20Mahajan&query_place_id=ChIJN7wnV8Ww5zsRGbSvtPN917E,Dental clinic
Divine Dental Care,5,48,"patel shopping centre, 31B, Chandavarkar Rd, near raj mahal hotel",Mumbai,Maharashtra,IN,,+91 88507 52634,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Divine%20Dental%20Care&query_place_id=ChIJH8cDfNew5zsRYA1vQYnS9AA,Dental clinic
Charmi's Dental Clinic,4.9,108,"Shop no. 7, Dattadham Building, Datta Mandir Rd",Mumbai,Maharashtra,IN,,+91 96192 94698,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Charmi's%20Dental%20Clinic&query_place_id=ChIJSVaOnou35zsRLcHyhByCBMI,Dental clinic
Dr Kadam dental care center Dahisar west,4,4,"Shop no 6, Mantri towers, Lokmanya Tilak Rd, opp. Vittal mandir",Mumbai,Maharashtra,IN,,,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Kadam%20dental%20care%20center%20Dahisar%20west&query_place_id=ChIJyZMqBQ-x5zsR5Rj_Jpri3zA,Dental clinic
